SM_ITEM|SM_DEST|SM_DEST_5ZIP|SM_SRC|SM_SRC_5ZIP|SM_ET|SM_QTY|SM_RANK|SM_P1|SM_COST|SM1_RANK|SM1_SRC|SM1_SRC_5ZIP|SM1_QTY|SM1_COST|P1_TOTALCOST|SM1_TOTALCOST|LOSS
4055RUPLUS|4000245665|93455|UT2Q|93308|VN|0|2|1|1.125|1|UT45|85353|2105|1.3|2368.125|2736.5|-368.375
4055RUPLUS|4000246926|60638|USQ4|60163|VN|348|2|1|0.56|1|USA9|17055|1629|0.792|912.24|1290.168|-377.928
4055RUPLUS|4000247094|41094|USG8|45011|VN|0|3|1|0.8|1|UT06|29680|262|1.302|209.6|341.124|-131.524
4055RUPLUS|4000247100|93210|UT3A|93725|FB|0|3|1|0.813|1|UT2J|90660|39|1.219|31.707|47.541|-15.834
4055RUPLUS|4000247604|91745|UT2J|90660|VN|0|3|1|0.413|1|UT45|85353|1|0.633|0.413|0.633|-0.22
4055RUPLUS|4000248174|99344|USMY|99216|FB|0|2|1|1.246|1|USHD|98499|510|1.356|635.46|691.56|-56.1
4055RUPLUS|4000248227|90650|UT2J|90660|FB|2125|2|1|0.356|1|UT45|85353|10624|0.696|3782.144|7394.304|-3612.16
4055RUPLUS|4000248329|60481|USIE|60446|VN|0|2|1|0.788|1|USIN|45371|103|0.96|81.164|98.88|-17.716
4055RUPLUS|4000248472|76106|US8R|76177|VN|0|4|1|0.74|1|US1Q|78218|197|0.869|145.78|171.193|-25.413
4055RUPLUS|4000248517|42445|US1L|42164|VN|0|3|1|0.961|1|USNZ|37207|2543|0.98|2443.823|2492.14|-48.317
4055RUPLUS|4000248561|40004|USA4|40118|VN|961|3|1|0.813|1|UT1F|30336|2882|1.156|2343.066|3331.592|-988.526
4055RUPLUS|4000248563|98225|USHD|98499|VN|249|2|1|1.348|1|USMX|97015|373|1.354|502.804|505.042|-2.238
4055RUPLUS|4000248593|93458|UT2Q|93308|FB|0|4|1|1.125|1|USKI|91752|156|1.24|175.5|193.44|-17.94
4055RUPLUS|4000248962|54448|USFD|54115|VN|0|2|1|0.938|1|USH3|15056|313|1.167|293.594|365.271|-71.677
4055RUPLUS|4000248984|65712|USE2|65802|VN|0|2|1|0.756|1|USYH|72701|2217|1.025|1676.052|2272.425|-596.373
4055RUPLUS|4000249039|68507|USMR|68110|VN|0|3|1|0.886|1|USE3|67501|652|1.191|577.672|776.532|-198.86
4055RUPLUS|4000249097|60525|USQ4|60163|VN|0|3|1|0.621|1|UT1E|48917|286|0.856|177.606|244.816|-67.21
4055RUPLUS|4000249253|30120|USKZ|30336|VN|0|3|1|1.198|1|USYX|30567|64|1.35|76.672|86.4|-9.728
4055RUPLUS|4000249322|54729|USPF|54729|VN|0|3|1|0.713|1|USRE|54660|991|0.76|706.583|753.16|-46.577
4055RUPLUS|4000249498|99362|USXB|99301|VN|0|2|1|1.294|1|USMX|97015|111|1.454|143.634|161.394|-17.76
4055RUPLUS|4000249622|93308|UT3A|93725|VN|0|4|1|0.835|1|USE1|91761|244|1.046|203.74|255.224|-51.484
4055RUPLUS|4000249960|95240|UT2W|95691|VN|0|3|1|0.531|1|USE1|91761|0|0.917|0|0|0
4055RUPLUS|4000250286|53223|US8Z|53110|VN|0|4|1|0.663|1|USVI|48150|110|0.938|72.93|103.18|-30.25
4055RUPLUS|4000250332|54422|USA3|50265|VN|712|2|1|1.423|1|USRE|54660|2848|1.506|4052.704|4289.088|-236.384
4055RUPLUS|4000250342|91752|USWH|91752|VN|0|3|1|0.492|1|UT45|85353|1595|0.6|784.74|957|-172.26
4055RUPLUS|4000250400|60048|USQ4|60163|VN|0|3|1|0.65|1|USXU|46705|0|0.804|0|0|0
4055RUPLUS|4000250477|60525|UT52|60440|VN|0|3|1|0.625|1|UT1E|48917|88|0.856|55|75.328|-20.328
4055RUPLUS|4000250597|68410|USMR|68110|VN|0|3|1|0.727|1|US8S|73131|114|1.119|82.878|127.566|-44.688
4055RUPLUS|4000250652|52730|USIV|52404|VN|0|2|1|1.275|1|USQ4|60163|39|1.279|49.725|49.881|-0.156
4055RUPLUS|4000251589|30349|UT31|30315|VN|1|2|1|0.496|1|USXZ|30316|1|0.692|0.496|0.692|-0.196
4055RUPLUS|4000251965|18017|USOW|18020|VN|0|2|1|0.521|1|USXK|08007|3236|0.594|1685.956|1922.184|-236.228
4055RUPLUS|4000252057|91752|USE1|91761|VN|0|3|1|0.4|1|UT45|85353|8|0.6|3.2|4.8|-1.6
4055RUPLUS|4000252147|33859|UT29|33815|VN|0|3|1|0.7|1|US77|34981|66|0.708|46.2|46.728|-0.528
4055RUPLUS|4000252346|73117|US8S|73131|VN|0|2|1|0.845|1|USIM|73401|65|0.938|54.925|60.97|-6.045
4055RUPLUS|4000252545|41094|USG8|45011|VN|0|3|1|0.8|1|UT06|29680|152|1.302|121.6|197.904|-76.304
4055RUPLUS|4000252734|92335|USE1|91761|VN|0|3|1|0.523|1|UT45|85353|326|0.673|170.498|219.398|-48.9
4055RUPLUS|4000252961|79936|USGL|79928|VN|1|2|1|0.467|1|USXV|79766|5|1.163|2.335|5.815|-3.48
4055RUPLUS|4000252996|45069|USG8|45011|VN|0|2|1|0.708|1|USIX|43701|3|0.823|2.124|2.469|-0.345
4055RUPLUS|4000253183|90040|UT2J|90660|VN|1622|2|1|0.438|1|UT1A|85043|7799|0.667|3415.962|5201.933|-1785.971
4055RUPLUS|4000253232|93291|US6P|93706|FB|0|4|1|0.771|1|UT2J|90660|62|1.219|47.802|75.578|-27.776
4055RUPLUS|4000253317|93263|UT2Q|93308|FB|84|2|1|0.46|1|US6D|89115|167|1.04|76.82|173.68|-96.86
4055RUPLUS|4000253545|60481|USIE|60446|VN|0|2|1|0.788|1|USIN|45371|26|0.96|20.488|24.96|-4.472
4055RUPLUS|4000253755|19931|USXK|08007|VN|0|2|1|0.878|1|USIR|21230|74|0.932|64.972|68.968|-3.996
4055RUPLUS|4000253760|75041|USGA|75227|FB|0|2|1|0.721|1|USIQ|76502|248|0.794|178.808|196.912|-18.104
4055RUPLUS|4000253931|95316|UT3A|93725|VN|0|3|1|1.398|1|UT45|85353|42|1.481|58.716|62.202|-3.486
